id,Cat1,Cat2,Cat3
407528,Vin,Vin blanc,
10530283,Vin,Vin rouge,
14250203,Vin,Vin blanc,
407544,Vin,Vin rouge,
10915247,Vin,Vin rouge,
13263416,Spiritueux,Rhum,Rhum épicé
3962,Vin,Vin rouge,
13188858,Vin,Vin rouge,
10253440,Vin,Vin rouge,
10518962,Vin de dessert,,
12990179,Vin,Vin rouge,
12990224,Vin,Vin blanc,
13359274,Vin,Vin rouge,
10331516,Spiritueux,Scotch et whisky,Whiskey américain
13284313,Vin,Vin rouge,
14375760,Vin,Vin rouge,
11870407,Spiritueux,Téquila,
14555322,Vin,Vin blanc,
13827429,Spiritueux,Gin,Dry gin
570,Spiritueux,Gin,Dry gin
11405679,Spiritueux,Gin,Dry gin
10825920,Spiritueux,Liqueur et Crème,Liqueur de fruit
437772,Spiritueux,Vodka,Vodka
13561149,Spiritueux,Vodka,Vodka
10856777,Vin,Vin rouge,
611251,Vin,Vin rouge,
123778,Vin,Vin rouge,
13483523,Spiritueux,Gin,Dry gin
35881,Spiritueux,Alcool anisé,Pastis
903245,Vin,Vin rouge,
352583,Vin,Vin rouge,
11133132,Vin,Vin rouge,
11133124,Vin,Vin blanc,
10845808,Vin,Vin rosé,
14127651,Vin,Vin rouge,
13908860,Vin,Vin rouge,
14453027,Vin,Vin rouge,
14453043,Vin,Vin rouge,
13343045,Champagne et mousseux,Vin mousseux,
95158,Champagne et mousseux,Vin mousseux,
11140674,Champagne et mousseux,Vin mousseux rosé,
13188831,Vin,Vin rouge,
11667231,Vin,Vin rouge,
506824,Vin,Vin rouge,
13359119,Vin,Vin rouge,
14216646,Vin,Vin rouge,
14173308,Bière,Bière dorée,Bière ale
13248638,Cooler et cocktail prémixé,Cooler à base de spiritueux,
13248646,Cooler et cocktail prémixé,Cooler à base de spiritueux,
13854831,Spiritueux,Liqueur et Crème,Liqueur d'herbe
10667423,Vin,Vin blanc,
14405050,Spiritueux,Gin,Dry gin
13864238,Spiritueux,Gin,Dry gin
14398849,Cooler et cocktail prémixé,Cooler à base de spiritueux,
10556993,Vin,Vin rouge,
12375942,Vin,Vin rouge,
10856873,Vin,Vin rouge,
898809,Vin,Vin rouge,
13188962,Vin,Vin rouge,
12989936,Vin,Vin rouge,
10758325,Vin,Vin rouge,
12990152,Vin,Vin rouge,
14294214,Vin,Vin blanc,
12140721,Vin,Vin rouge,
928440,Vin,Vin rouge,
13699818,Vin,Vin rouge,
13265972,Vin,Vin blanc,
12926661,Vin,Vin rouge,
12721905,Vin,Vin rouge,
10472888,Vin,Vin rouge,
11896578,Vin,Vin rouge,
11387327,Vin,Vin rouge,
13466803,Vin,Vin blanc,
12207771,Vin,Vin rouge,
237875,Vin,Vin rouge,
13692966,Spiritueux,Vodka,Vodka
14346820,Spiritueux,Gin,Dry gin
12494714,Vin,Vin blanc,
16840,Vin,Vin rouge,
11570682,Vin,Vin rouge,
384529,Champagne et mousseux,Champagne,
316844,Spiritueux,Gin,Dry gin
12275861,Spiritueux,Gin,Dry gin
14056515,Vin,Vin blanc,
331090,Vin,Vin rouge,
342428,Vin,Vin rouge,
342436,Vin,Vin blanc,
530139,Vin,Vin rouge,
13831006,Spiritueux,Gin,Dry gin aromatisé
12560620,Vin,Vin rouge,
13640277,Champagne et mousseux,Vin mousseux,
14042068,Vin,Vin blanc,
13737642,Vin,Vin rouge,
14102403,Vin,Vin rouge,
11962900,Vin,Vin rouge,
10324623,Vin,Vin rouge,
10754201,Vin,Vin rosé,
10845701,Vin,Vin rouge,
12732057,Vin,Vin rouge,
935833,Vin,Vin blanc,
12698944,Vin,Vin blanc,
14445377,Spiritueux,Gin,Dry gin aromatisé
12456937,Champagne et mousseux,Vin mousseux,
884270,Champagne et mousseux,Vin mousseux,
13497079,Champagne et mousseux,Vin mousseux rosé,
12824971,Champagne et mousseux,Vin mousseux rosé,
10540730,Champagne et mousseux,Vin mousseux,
430462,Vin,Vin blanc,
409888,Vin,Vin rouge,
143628,Vin,Vin blanc,
10796524,Vin,Vin blanc,
38414,Spiritueux,Cognac et brandy,Calvados
346148,Vin,Vin rouge,
13359952,Vin,Vin rouge,
10503963,Vin,Vin rouge,
12989696,Vin,Vin blanc,
12514009,Spiritueux,Gin,Dry gin
12502382,Spiritueux,Gin,Dry gin
11904494,Vin,Vin rouge,
13584375,Vin,Vin blanc,
12286,Vin,Vin rouge,
11662683,Spiritueux,Rhum,Rhum ambré
12471715,Spiritueux,Scotch et whisky,Scotch single malt
548883,Vin,Vin blanc,
10263891,Spiritueux,Scotch et whisky,Whiskey américain
11337910,Vin,Vin rouge,
11155956,Spiritueux,Scotch et whisky,Whiskey américain
13325701,Spiritueux,Rhum,Rhum épicé
14510642,Vin,Vin rouge,
10753874,Spiritueux,Scotch et whisky,Whiskey irlandais
427625,Vin,Vin rosé,
13808682,Vin,Vin blanc,
12103621,Spiritueux,Liqueur et Crème,Boisson alcoolisée
10915298,Vin,Vin blanc,
10846026,Vin,Vin rouge,
11073918,Vin,Vin rosé,
13821545,Vin,Vin blanc,
14145622,Vin,Vin blanc,
13991000,Vin,Vin rouge,
10270733,Porto et vin fortifié,Porto,Porto blanc
10270717,Porto et vin fortifié,Porto,Porto rouge
12757692,Vin,Vin blanc,
12185647,Vin,Vin rouge,
625871,Porto et vin fortifié,Porto,Tawny
13114947,Vin,Vin rouge,
10270741,Porto et vin fortifié,Porto,Tawny - 10 ans
10682623,Porto et vin fortifié,Porto,Tawny - 20 ans
13279872,Vin,Vin rouge,
12699509,Vin,Vin rouge,
14086837,Vin,Vin blanc,
12382851,Vin,Vin blanc,
277954,Spiritueux,Liqueur et Crème,Liqueur amère
11462446,Vin,Vin rouge,
463,Spiritueux,Scotch et whisky,Whisky canadien
42,Spiritueux,Scotch et whisky,Whisky canadien
11495424,Spiritueux,Scotch et whisky,Whisky canadien
12592980,Spiritueux,Scotch et whisky,Whisky canadien
126466,Spiritueux,Scotch et whisky,Whisky canadien
12729341,Spiritueux,Scotch et whisky,Whisky canadien
13586186,Champagne et mousseux,Vin mousseux rouge,
14626434,Vin,Vin blanc,
713354,Vin,Vin rouge,
11584321,Spiritueux,Rhum,Rhum blanc
11741390,Spiritueux,Rhum,Rhum épicé
11582659,Spiritueux,Rhum,Rhum brun
11975284,Spiritueux,Rhum,Rhum épicé
13817677,Spiritueux,Rhum,Rhum ambré
500512,Spiritueux,Rhum,Rhum épicé
11584478,Spiritueux,Rhum,Rhum épicé
11342049,Spiritueux,Rhum,Rhum épicé
11253695,Spiritueux,Rhum,Rhum épicé
11459731,Spiritueux,Rhum,Rhum épicé
14682719,Spiritueux,Rhum,Rhum ambré
10330214,Spiritueux,Liqueur et Crème,Boisson alcoolisée
742254,Vin de dessert,,
13918064,Vin,Vin blanc,
13921722,Vin,Vin rouge,
358309,Vin,Vin rouge,
522771,Vin,Vin blanc,
11767856,Vin,Vin blanc,
11579644,Vin,Vin rouge,
11975090,Vin,Vin rouge,
623678,Spiritueux,Liqueur et Crème,Crème
591289,Champagne et mousseux,Vin mousseux,
478891,Vin,Vin rouge,
14278935,Vin,Vin blanc,
978874,Vin,Vin rouge,
10271939,Vin,Vin rouge,
11814704,Vin,Vin rouge,
11341855,Champagne et mousseux,Vin mousseux,
963389,Vin,Vin rouge,
13284292,Vin,Vin rouge,
13385288,Vin,Vin rouge,
10319912,Vin,Vin rouge,
620682,Vin,Vin rosé,
508879,Vin,Vin rouge,
13676624,Spiritueux,Téquila,
11793173,Vin,Vin rouge,
13862179,Vin,Vin rouge,
12791401,Spiritueux,Téquila,Téquila dorée
13882541,Vin,Vin rouge,
13385325,Vin,Vin rouge,
13189594,Vin,Vin blanc,
865329,Vin,Vin rouge,
13576640,Vin,Vin rouge,
13844405,Vin,Vin rouge,
12989611,Vin,Vin rouge,
897512,Vin,Vin rouge,
10269388,Vin,Vin rouge,
12748180,Vin,Vin rouge,
10875185,Vin,Vin rouge,
201855,Vin,Vin rouge,
13862419,Vin,Vin rouge,
11676591,Vin,Vin blanc,
10781971,Vin,Vin blanc,
14270520,Vin,Vin rouge,
14270423,Vin,Vin rouge,
270363,Vin,Vin rouge,
624296,Vin,Vin rouge,
739680,Vin,Vin rouge,
12103411,Vin,Vin blanc,
13483911,Champagne et mousseux,Vin mousseux,
13594952,Vin,Vin blanc,
552505,Vin,Vin rouge,
13958293,Vin,Vin rouge,
10559174,Vin,Vin blanc,
10559166,Vin,Vin rouge,
12997709,Vin,Vin rouge,
12382501,Vin,Vin blanc,
14008249,Vin,Vin blanc,
10413790,Vin,Vin rouge,
12274615,Spiritueux,Téquila,
11579345,Spiritueux,Téquila,Téquila dorée
10510354,Vin,Vin rosé,
202499,Vin,Vin rouge,
642561,Vin,Vin rouge,
13907269,Vin,Vin rouge,
11962897,Vin,Vin rouge,
464669,Vin,Vin rouge,
560078,Vin,Vin rouge,
560060,Vin,Vin blanc,
11355886,Vin,Vin rouge,
13604495,Vin,Vin blanc,
12588921,Champagne et mousseux,Champagne,
12560881,Champagne et mousseux,Champagne rosé,
13647014,Champagne et mousseux,Champagne,
11565007,Champagne et mousseux,Vin mousseux rosé,
13343109,Champagne et mousseux,Vin mousseux,
83329,Champagne et mousseux,Vin mousseux,
11629787,Vin,Vin blanc,
14197431,Vin,Vin rouge,
12221628,Vin,Vin rosé,
14228946,Vin,Vin rouge,
14205921,Vin,Vin rouge,
856575,Vin,Vin rouge,
862086,Vin,Vin rouge,
276683,Vin,Vin rouge,
14604673,Vin,Vin rouge,
10677550,Vin,Vin rouge,
12956481,Vin,Vin rouge,
14351477,Vin,Vin rouge,
11416984,Vin,Vin rosé,
13462095,Vin,Vin rouge,
11550059,Vin de dessert,Sauternes,
66043,Porto et vin fortifié,Pineau des Charentes,Pineau des Charentes
11401547,Vin,Vin rouge,
12357550,Cidre,Cidre de glace,
12357453,Champagne et mousseux,Vin mousseux rosé,
13952570,Vin,Vin rouge,
14473280,Vin,Vin rouge,
12645148,Cidre,Cidre mousseux,
14559358,Vin,Vin rosé,
14060750,Vin,Vin rouge,
962589,Vin,Vin rouge,
13504419,Spiritueux,Cognac et brandy,Cognac V.S.O.P.
113381,Vin,Vin rouge,
13570344,Vin de dessert,Sauternes,
13972458,Vin de dessert,Sauternes,
13972044,Vin de dessert,Sauternes,
13462335,Vin,Vin rouge,
22384,Vin,Vin rouge,
947184,Vin,Vin rouge,
560763,Vin,Vin blanc,
12268231,Vin,Vin rouge,
13905651,Vin,Vin rouge,
719393,Vin,Vin rouge,
11455342,Vin,Vin rouge,
164582,Vin,Vin blanc,
10258486,Vin,Vin rouge,
13479639,Vin,Vin blanc,
10272755,Vin,Vin rouge,
387035,Vin,Vin rouge,
13576615,Vin,Vin rouge,
316620,Vin,Vin rouge,
978189,Vin,Vin rouge,
12489528,Vin,Vin rouge,
14589848,Vin,Vin rouge,
14234609,Vin,Vin blanc,
11073424,Vin,Vin rouge,
443721,Vin,Vin rouge,
896282,Vin,Vin rouge,
973057,Vin,Vin rouge,
10865307,Vin,Vin rouge,
10863361,Vin,Vin rouge,
13862911,Vin,Vin rouge,
862904,Vin,Vin rouge,
13462634,Vin,Vin rouge,
11835388,Vin,Vin rouge,
14046456,Vin,Vin rouge,
709469,Vin,Vin rouge,
13711750,Vin,Vin rouge,
14046528,Vin,Vin rouge,
11253599,Vin,Vin rouge,
14038350,Vin,Vin rouge,
864546,Vin,Vin rouge,
12225493,Vin,Vin rouge,
12251317,Vin,Vin rouge,
430751,Champagne et mousseux,Vin mousseux,
864249,Vin,Vin rouge,
10259753,Vin,Vin rouge,
11027524,Vin,Vin rouge,
913186,Vin,Vin rouge,
10771407,Vin,Vin rouge,
743922,Vin,Vin rouge,
969303,Vin,Vin rouge,
10255939,Vin,Vin rouge,
912576,Vin,Vin rouge,
442392,Vin,Vin rouge,
852129,Vin,Vin rouge,
33605,Vin,Vin rouge,
14505384,Vin,Vin rouge,
14606759,Vin,Vin rouge,
713263,Vin,Vin rouge,
303529,Vin,Vin rouge,
10915263,Vin,Vin rouge,
13188938,Vin,Vin rouge,
917948,Vin,Vin rouge,
10269151,Vin,Vin blanc,
13987713,Vin,Vin rouge,
10967397,Vin,Vin rouge,
897215,Vin,Vin blanc,
927830,Vin,Vin rouge,
11416116,Vin,Vin blanc,
11882221,Vin,Vin rouge,
10960890,Vin,Vin rouge,
14514512,Vin,Vin blanc,
919324,Vin,Vin rouge,
560722,Vin,Vin rouge,
974477,Vin,Vin blanc,
4440,Spiritueux,Cognac et brandy,Brandy
4242,Spiritueux,Cognac et brandy,Brandy
3723,Spiritueux,Cognac et brandy,Brandy
113233,Spiritueux,Cognac et brandy,Brandy
365890,Vin,Vin blanc,
14561781,Spiritueux,Gin,Dry gin
14001338,Spiritueux,Vodka,Vodka
14250123,Spiritueux,Vodka,Vodka aromatisée
14064873,Spiritueux,Vodka,Vodka aromatisée
554139,Vin,Vin rouge,
12362674,Spiritueux,Rhum,Rhum épicé
14071037,Spiritueux,Rhum,Rhum épicé
14265771,Spiritueux,Rhum,Rhum épicé
7617,Spiritueux,Scotch et whisky,Scotch blended
12478829,Vin,Vin blanc,
14561909,Spiritueux,Liqueur et Crème,Crème
521963,Spiritueux,Vodka,Vodka
14349051,Vin,Vin rouge,
733386,Cidre,Cidre mousseux,
245316,Cidre,Cidre mousseux,
511956,Cidre,Cidre léger,
13952756,Cidre,Cidre mousseux,
13612778,Cidre,Cidre mousseux,
12962063,Cidre,Cidre mousseux,
14562717,Cidre,Cidre mousseux,
12204078,Cidre,Cidre mousseux,
13656682,Cidre,Cidre mousseux,
13656560,Cidre,Cidre mousseux,
13656615,Cidre,Cidre mousseux,
13107641,Cidre,Cidre mousseux,
11082283,Cidre,Cidre léger,
11408642,Porto et vin fortifié,Vermouth,Vermouth rouge
14620500,Spiritueux,Vodka,Vodka aromatisée
14479631,Spiritueux,Gin,Dry gin
14393491,Spiritueux,Gin,Dry gin aromatisé
14588757,Spiritueux,Gin,Dry gin
13455670,Spiritueux,Vodka,Vodka
12041731,Spiritueux,Vodka,Vodka aromatisée
12703951,Spiritueux,Vodka,Vodka
14441270,Spiritueux,Eau-de-vie,
12041707,Spiritueux,Vodka,Vodka aromatisée
10841161,Vin,Vin rouge,
552513,Vin,Vin blanc,
103861,Vin,Vin rouge,
12662239,Spiritueux,Gin,Dry gin
11462104,Vin,Vin rouge,
11133036,Vin,Vin rouge,
11974901,Vin,Vin blanc,
11529591,Vin,Vin blanc,
12270972,Vin,Vin rosé,
12824998,Vin,Vin rouge,
11016016,Vin,Vin rouge,
12797686,Vin,Vin rouge,
11768568,Vin,Vin blanc,
857177,Vin,Vin rouge,
13565422,Vin,Vin blanc,
11133221,Cidre,Cidre de glace,
11334161,Vin,Vin rouge,
503490,Champagne et mousseux,Vin mousseux,
14551815,Spiritueux,Gin,Dry gin
6502,Spiritueux,Liqueur et Crème,Liqueur d'agrumes
13927964,Vin,Vin rouge,
11383668,Vin,Vin rouge,
12786717,Vin,Vin blanc,
12207957,Vin,Vin rouge,
14676001,Spiritueux,Téquila,
12171801,Spiritueux,Téquila,
221218,Vin,Vin rouge,
13211894,Vin,Vin rouge,
278416,Vin,Vin rouge,
116426,Vin,Vin rouge,
13087571,Vin,Vin blanc,
10694253,Vin,Vin rouge,
853408,Vin,Vin blanc,
978866,Vin,Vin rouge,
13818151,Vin,Vin rouge,
13818080,Vin,Vin blanc,
11959348,Vin,Vin rosé,
13284401,Vin,Vin rouge,
10694376,Vin,Vin rouge,
11386877,Vin,Vin rouge,
874891,Vin,Vin rouge,
10921073,Vin,Vin blanc,
10403410,Vin,Vin rouge,
11156238,Vin,Vin blanc,
10944380,Vin,Vin rouge,
34439,Vin,Vin rouge,
709451,Vin,Vin rouge,
237834,Vin,Vin rouge,
14575307,Vin,Vin rouge,
14575286,Vin,Vin blanc,
14375268,Spiritueux,Gin,Dry gin
11957158,Poiré,Poiré de glace,
11680515,Cidre,Cidre de glace,
12862927,Cidre,Cidre mousseux,
12862935,Poiré,Poiré mousseux,
12862898,Cidre,Cidre mousseux,
13258297,Champagne et mousseux,Vin mousseux,
13430413,Cidre,Cidre mousseux,
13743516,Poiré,Poiré mousseux,
13735516,Cidre,Cidre mousseux,
13106429,Cidre,Cidre liquoreux,
11680523,Vin de dessert,,
13107368,Cidre,Cidre de glace,
12358190,Vin,Vin rouge,
12358173,Cidre,Cidre aromatisé,
13612786,Vin,Vin blanc,
12644153,Vin,Vin rosé,
12204086,Vin,Vin rouge,
11957051,Vin,Vin blanc,
12029994,Vin,Vin blanc,
12862951,Vin,Vin blanc,
704817,Vin,Vin rouge,
10857569,Vin,Vin rouge,
973222,Vin,Vin rouge,
11724979,Spiritueux,Liqueur et Crème,Liqueur
11676487,Spiritueux,Liqueur et Crème,Crème
11091921,Spiritueux,Liqueur et Crème,Crème
1925,Spiritueux,Cognac et brandy,Cognac V.S.
212993,Vin,Vin rouge,
14515005,Spiritueux,Liqueur et Crème,Crème
565648,Cidre,Cidre mousseux,
14646881,Spiritueux,Liqueur et Crème,Liqueur de menthe
14233825,Spiritueux,Liqueur et Crème,Crème
292904,Vin,Vin rouge,
1487,Spiritueux,Scotch et whisky,Whisky canadien
11584013,Spiritueux,Scotch et whisky,Whisky canadien
246603,Spiritueux,Scotch et whisky,Whisky canadien
12729827,Spiritueux,Liqueur et Crème,Liqueur
12820364,Spiritueux,Scotch et whisky,Whisky canadien
13985339,Spiritueux,Liqueur et Crème,Liqueur
11345653,Spiritueux,Vodka,Vodka
451161,Spiritueux,Téquila,Téquila dorée
11372791,Vin,Vin blanc,
11097101,Vin,Vin blanc,
10539915,Vin,Vin rouge,
10960777,Vin,Vin rouge,
12903670,Vin,Vin rouge,
12278261,Vin,Vin rouge,
13142622,Spiritueux,Cognac et brandy,Brandy
11470593,Spiritueux,Cognac et brandy,Brandy
882696,Vin,Vin rouge,
13958365,Vin,Vin rouge,
238097,Spiritueux,Scotch et whisky,Scotch single malt
12604080,Vin,Vin rouge,
14504541,Champagne et mousseux,Vin mousseux,
13657677,Vin,Vin blanc,
12056554,Spiritueux,Cognac et brandy,Calvados
13994171,Vin,Vin rouge,
12698346,Vin,Vin rouge,
13283901,Vin,Vin blanc,
406,Spiritueux,Gin,Genièvre
33100,Spiritueux,Gin,Genièvre
22707,Spiritueux,Gin,Genièvre
1339,Spiritueux,Gin,Genièvre
255091,Spiritueux,Liqueur et Crème,Liqueur de menthe
268722,Spiritueux,Liqueur et Crème,Liqueur de fruit
268714,Spiritueux,Liqueur et Crème,Liqueur de fruit
12862564,Vin,Vin blanc,
13692510,Vin,Vin blanc,
560821,Vin,Vin rouge,
3269,Vin,Vin blanc,
14588651,Vin,Vin blanc,
14282310,Champagne et mousseux,Champagne,
11495601,Spiritueux,Scotch et whisky,Scotch blended
12910749,Spiritueux,Gin,Dry gin
11621110,Spiritueux,Rhum,Rhum brun
13890217,Spiritueux,Vodka,Vodka
2253,Spiritueux,Liqueur et Crème,Liqueur d'amande et noyau
10675589,Spiritueux,Liqueur et Crème,Liqueur d'amande et noyau
14392578,Spiritueux,Gin,Dry gin
13671137,Spiritueux,Scotch et whisky,Whisky canadien
14532825,Spiritueux,Alcool anisé,Pastis
14545183,Spiritueux,Gin,Dry gin
14217008,Spiritueux,Gin,Dry gin aromatisé
14311061,Spiritueux,Gin,Dry gin
14422950,Spiritueux,Gin,Dry gin
14592191,Spiritueux,Gin,Dry gin aromatisé
14560332,Spiritueux,Gin,Dry gin
14560404,Spiritueux,Gin,Dry gin
14510301,Spiritueux,Gin,Dry gin
14314271,Spiritueux,Liqueur et Crème,Liqueur d'amande et noyau
14113639,Spiritueux,Liqueur et Crème,Liqueur de café
14018332,Spiritueux,Scotch et whisky,Whisky de grain
14314174,Spiritueux,Liqueur et Crème,Liqueur
13983712,Spiritueux,Liqueur et Crème,Liqueur
14183320,Apéritif,Apéritif à base de gentiane,
14178521,Apéritif,Apéritif à base de gentiane,
14265780,Spiritueux,Vodka,Vodka
13827269,Spiritueux,Vodka,Vodka
13811110,Spiritueux,Gin,Dry gin
14397846,Cooler et cocktail prémixé,Cooler à base de spiritueux,
14022497,Spiritueux,Gin,Dry gin
14022500,Spiritueux,Vodka,Vodka
14348163,Spiritueux,Liqueur et Crème,Liqueur
14347961,Apéritif,Apéritif à base de gentiane,
14398751,Cooler et cocktail prémixé,Cooler à base de spiritueux,
13674127,Spiritueux,Vodka,Vodka
14622644,Spiritueux,Gin,Dry gin
13876386,Spiritueux,Gin,Dry gin
14412735,Spiritueux,Gin,Dry gin
14379904,Spiritueux,Eau-de-vie,Eau-de-vie d'érable
14210931,Spiritueux,Cognac et brandy,Brandy
14210949,Spiritueux,Cognac et brandy,Brandy de fruit
13394918,Spiritueux,Gin,Dry gin
14682997,Spiritueux,Liqueur et Crème,Liqueur de menthe
14682583,Spiritueux,Gin,Genièvre aromatisé
14191741,Spiritueux,Gin,Dry gin
14128697,Spiritueux,Liqueur et Crème,Liqueur d'herbe
12820284,Spiritueux,Liqueur et Crème,Liqueur d'herbe
14216953,Spiritueux,Gin,Genièvre
12880181,Spiritueux,Vodka,Vodka
13448912,Spiritueux,Alcool anisé,Pastis
13993216,Spiritueux,Gin,Dry gin
12573519,Spiritueux,Gin,Dry gin
14560341,Spiritueux,Gin,Dry gin aromatisé
14592254,Spiritueux,Vodka,Vodka
14591884,Spiritueux,Gin,Dry gin
14623250,Spiritueux,Gin,Dry gin
14128646,Spiritueux,Liqueur et Crème,Liqueur d'amande et noyau
13673941,Spiritueux,Liqueur et Crème,Liqueur d'amande et noyau
13515978,Spiritueux,Absinthe,
12880851,Spiritueux,Gin,Dry gin
13261664,Spiritueux,Rhum,Rhum épicé
13992820,Spiritueux,Rhum,Rhum épicé
13917766,Spiritueux,Liqueur et Crème,Crème
13674021,Spiritueux,Gin,Dry gin
14144398,Spiritueux,Liqueur et Crème,Liqueur amère
14455701,Spiritueux,Liqueur et Crème,Liqueur de fruit
14413279,Spiritueux,Liqueur et Crème,Liqueur de fruit
14082490,Spiritueux,Gin,Dry gin
14128726,Spiritueux,Vodka,Vodka
