id,nom,type,adresse,ville,codePostal,tel,lat,lon,region
23059,Dorion,SAQ,"401, boulevard Harwood",Vaudreuil-Dorion,J7V7W1,450 424-0008,45.3812,-74.0175,Montérégie
23060,Chambly,SAQ Sélection,"1285, boulevard de Périgny",Chambly,J3L1W7,450 658-8222,45.44609,-73.28805,Montérégie
23061,Terrebonne - Ch. Gascon,SAQ,"2330, chemin Gascon",Terrebonne,J6X3A5,450 964-9551,45.723946,-73.664931,Lanaudière
23062,L'Assomption,SAQ,"800, montée Saint-Sulpice",L'Assomption,J5W0M6,450 589-4771,45.8358824,-73.4127485,Lanaudière
23063,Rigaud,SAQ,"459, chemin de la Grande-Ligne",Rigaud,J0P1P0,450 451-5687,45.4791,-74.2865,Montérégie
23064,Sherbrooke Est/Carignan,SAQ Express,"6360, rue Sherbrooke Est",Montréal,H1N3P6,514 251-4711,45.5805,-73.5436,Montréal
23065,Avenue Laurier Ouest,SAQ Sélection,"390, avenue Laurier Ouest",Montréal,H2V2K7,514 271-7010,45.519255,-73.596155,Montréal
23066,Beaubien/St-André,SAQ Sélection,"900, rue Beaubien Est",Montréal,H2S1T1,514 270-1776,45.5367,-73.6025,Montréal
23067,Cowansville,SAQ,"1787, rue du Sud",Cowansville,J2K3G8,450 266-1088,45.1895,-72.7549,Montérégie
23068,La Prairie,SAQ,"50, boulevard Taschereau",La Prairie,J5R4V3,450 444-4525,45.423799,-73.48387,Montérégie
23069,SAQ Sélection Blainville,SAQ Sélection,"259, boul. de la Seigneurie Ouest",Blainville,J7C4N3,450 434-9164,45.663783,-73.875091,Laurentides
23070,Repentigny - Boul. Brien,SAQ Sélection,"86, boulevard Brien",Repentigny,J6A5K7,450 654-6260,45.743467,-73.453407,Lanaudière
23071,Valleyfield - Ch. Larocque,SAQ,"406, chemin Larocque",Salaberry-de-Valleyfield,J6T4C5,450 373-2611,45.2421,-74.126,Montérégie
23072,Fermé - Gatineau - Promenade du Portage,SAQ,"141, promenade du Portage",Gatineau,J8X2K2,819 771-7395,45.425672,-75.716548,Outaouais
23073,Le Gardeur,SAQ,"515, boulevard Lacombe",Repentigny,J5Z1P5,450 470-1005,45.756553,-73.463921,Lanaudière
23074,Huntingdon,SAQ,"2195, chemin Ridge",Huntingdon,J0S1H0,450 264-5437,45.0923,-74.1875,Montérégie
23075,Place Vertu,SAQ,"3111, boulevard de la Côte Vertu",Montréal,H4R1Y5,514 337-1158,45.497432,-73.704033,Montréal
23076,Beaubien/27e avenue,SAQ,"4390, rue Beaubien Est",Montréal,H1T1S9,514 721-9350,45.565256,-73.577197,Montréal
23077,Bedford,SAQ,"18, avenue des Pins",Bedford,J0J1A0,450 248-3382,45.1205,-72.9904,Montérégie
23079,Delson,SAQ,"54, Route 132, Local 101",Delson,J5B0A1,450 635-7288,45.386156,-73.547259,Montérégie
23080,Farnham,SAQ,"201, rue Principale Est",Farnham,J2N1L2,450 293-4100,45.284785,-72.978318,Montérégie
23081,Coaticook,SAQ,"235, rue Child",Coaticook,J1A2B5,819 849-2992,45.135233,-71.804709,Estrie
23082,Magog - Rue Principale,SAQ Sélection,"987, rue Principale Ouest",Magog,J1X2B7,819 843-4543,45.268472,-72.15848,Estrie
23084,Saint-Jean-sur-Richelieu - Du Séminaire/St-Louis,SAQ,"391, boulevard du Séminaire Nord",Saint-Jean-sur-Richelieu,J3B8C5,450 348-7641,45.31199,-73.26321,Montérégie
23085,Côte-Saint-Luc,SAQ,"7129, chemin de la Côte-Saint-Luc",Côte-Saint-Luc,H4V1J2,514 489-8757,45.4665,-73.6547,Montréal
23086,Westmount,SAQ Sélection,"4833, rue  Sherbrooke Ouest",Westmount,H3Z1G6,514 483-1355,45.479202,-73.603193,Montréal
23087,Henri-Bourassa Ouest/Tanguay,SAQ Sélection,"450, boulevard Henri-Bourassa Ouest",Montréal,H3L0A2,514 336-4266,45.5441,-73.6743,Montréal
23088,Iberville,SAQ,"420, 2e Avenue",St-Jean-sur-Richelieu,J2X2B8,450 346-9339,45.304,-73.2305,Montérégie
23090,Saint-Eustache - Arthur-Sauvé/Pie XII,SAQ Sélection,"460, boulevard Arthur-Sauvé",Saint-Eustache,J7R4Z3,450 473-3300,45.5666391,-73.9070959,Laurentides
23091,Notre-Dame Est/St-Donat,SAQ,"8269, rue Notre-Dame Est",Montréal,H1L3L2,514 351-0636,45.593,-73.511,Montréal
23092,N.D.G. - Rue Sherbrooke Ouest,SAQ Express,"6108, rue Sherbrooke Ouest",Montréal,H4A1Y3,514 489-6521,45.467588,-73.621563,Montréal
23094,Sutton,SAQ,"35-2, rue Principale Nord",Sutton,J0E2K0,450 538-1903,45.108553,-72.616978,Montérégie
23095,Bromont,SAQ Sélection,"89, boulevard de Bromont",Bromont,J2L2K5,450 534-4600,45.319121,-72.647609,Montérégie
23096,Acton Vale,SAQ,"1530, rue d'Acton, local 58",Acton Vale,J0H1A0,450 546-2996,45.644392,-72.574959,Montérégie
23097,Sainte-Anne-des-Plaines,SAQ,"155, boulevard Sainte-Anne",Sainte-Anne-des-Plaines,J0N1H0,450 478-8618,45.756596,-73.817963,Laurentides
23098,Maniwaki,SAQ,"100, rue Principale Sud",Maniwaki,J9E3L4,819 449-2482,46.3747,-75.9817,Outaouais
23099,Pie IX/Industriel,SAQ Express,"10210, boulevard Pie-IX",Montréal,H1H3Z1,514 322-4030,45.585,-73.6313,Montréal
23100,N.D.G. - Rue Monkland,SAQ,"5617, avenue de Monkland",Montréal,H4A1E2,514 486-3838,45.4755,-73.6232,Montréal
23101,Mont-Royal Est/Papineau,SAQ Sélection,"1690, avenue du Mont-Royal Est",Montréal,H2J1Z5,514 521-8230,45.532699,-73.574632,Montréal
23102,Rouyn-Noranda,SAQ Sélection,"200, boulevard Rideau",Rouyn-Noranda,J9X6A4,819 762-1402,48.240498,-79.035835,Abitibi-Témiscamingue
23104,Rawdon,SAQ,"3240, 1re Avenue",Rawdon,J0K1S0,450 834-2519,46.037421,-73.69957,Lanaudière
23105,Lachute,SAQ,"503, avenue Béthany",Lachute,J8H4A6,450 562-4011,45.63713,-74.32706,Laurentides
23106,Carrefour de la Pointe,SAQ Sélection,"12653, rue Sherbrooke Est",Montréal,H1A3V9,514 642-5717,45.65553,-73.50991,Montréal
23107,Verdun,SAQ,"4215, rue Wellington",Montréal,H4G1V9,514 767-9937,45.461774,-73.567151,Montréal
23108,L'Annonciation,SAQ,"1383, rue L'Annonciation Sud",Rivière-Rouge,J0T1T0,819 275-2882,46.400942,-74.866129,Laurentides
23109,Queen-Mary/Décarie,SAQ,"5295, chemin Queen-Mary",Montréal,H3W1Y3,514 486-9433,45.484145,-73.629219,Montréal
23110,Lacolle,SAQ,"60, route 202",Lacolle,J0J1J0,450 246-3966,45.0721,-73.35806,Montérégie
23112,Centre Eaton,SAQ,"677, rue Sainte-Catherine Ouest",Montréal,H3B5K4,438 387-1665,45.503323,-73.570983,Montréal
23113,De la Montagne,SAQ Sélection,"1450, de la Montagne",Montréal,H3G1Z5,514 543-5770,45.4985237,-73.576732,Montréal
23114,Témiscaming,SAQ,"534, chemin Kipawa",Témiscaming,J0Z3R0,819 627-9491,46.72282,-79.094636,Abitibi-Témiscamingue
23115,La Porte de Gatineau,SAQ Express,"25, chemin de la Savane",Gatineau,J8T8A4,819 561-3900,45.4737,-75.70415,Outaouais
23116,Malartic,SAQ,"1470, rue Royale",Malartic,J0Y1Z0,819 757-2054,48.1431782,-78.126807,Abitibi-Témiscamingue
23117,Asbestos,SAQ,"566, 1re Avenue",Asbestos,J1T4N3,819 879-5722,45.7694,-71.9262,Estrie
23118,Tracy,SAQ,"6800, avenue de la Plaza",Sorel-Tracy,J3R4L7,450 742-1373,46.019961,-73.153772,Montérégie
23119,Mont-Tremblant - Saint-Jovite,SAQ Sélection,"1122, rue de Saint-Jovite",Mont-Tremblant,J8E3J9,819 425-6301,46.118335,-74.601307,Laurentides
23120,Ville-Marie,SAQ,"37, rue des Oblats nord",Ville-Marie,J9V1H9,819 629-2087,47.336306,-79.437034,Abitibi-Témiscamingue
23121,Duvernay,SAQ,"3100, boulevard de la Concorde Est",Laval,H7E2B8,450 661-0022,45.5925,-73.6669,Laval
23122,Saint-Rémi,SAQ,"780, rue St-Paul",Saint-Rémi,J0L2L0,450 454-3133,45.260316,-73.609447,Montérégie
23123,La Sarre,SAQ,"77, 2e Rue Est",La Sarre,J9Z3G8,819 333-2626,48.8125,-79.1998,Abitibi-Témiscamingue
23124,Côte-des-Neiges/Jean-Brillant,SAQ,"5252, chemin de la Côte-des-Neiges",Montréal,H3T1X8,514 738-6375,45.495506,-73.620734,Montréal
23125,Mont-Laurier,SAQ,"1015,  boulevard Albiny-Paquette",Mont-Laurier,J9L0K3,819 623-1821,46.55097,-75.48512,Laurentides
23126,Pierrefonds - Boul. des Sources,SAQ,"4990, boulevard des Sources",Montréal,H8Y3E2,514 683-0879,45.508255,-73.821471,Montréal
23128,Saint-Gabriel-de-Brandon,SAQ,"75, rue Saint-Gabriel",Saint-Gabriel,J0K2N0,450 835-7173,46.292176,-73.382872,Lanaudière
23129,Châteauguay - Boul. d'Anjou,SAQ Sélection,"88, boulevard d'Anjou",Châteauguay,J6K1C3,450 699-7403,45.3604328,-73.7334582,Montérégie
23130,Plaza Gatineau,SAQ,"381, boulevard Maloney",Gatineau,J8P1E3,819 663-7095,45.484875,-75.6401,Outaouais
23131,Saint-Lambert - Boul. Sir-Wilfrid-Laurier,SAQ Sélection,"289, boulevard Sir-Wilfrid-Laurier",Saint-Lambert,J4R2L1,450 671-3574,45.4938752,-73.5037337,Montérégie
23132,Marché Atwater,SAQ Sélection,"155, avenue Atwater",Montréal,H3J2J4,514 932-2574,45.479829,-73.576285,Montréal
23133,Sainte-Dorothée,SAQ Sélection,"1096, Autoroute Chomedey",Laval,H7X4C9,450 969-4146,45.5321341,-73.7864986,Laval
23134,De Maisonneuve/City Councillors,SAQ Sélection,"440, boulevard De Maisonneuve Ouest",Montréal,H3A3K5,514 873-2274,45.506172,-73.569824,Montréal
23135,Piedmont - Chemin Avila,SAQ Express,"697, Chemin Avila, Local 110",Piedmont,J0R1R3,450 240-0856,45.889322,-74.146544,Laurentides
23136,Pierrefonds - Boul. St-Jean,SAQ Sélection,"4777, boulevard St-Jean",Montréal,H9H2A9,514 626-2972,45.4891,-73.8482,Montréal
23137,Boucherville - Boul. du Fort St-Louis,SAQ,"510, boulevard du Fort-St-Louis",Boucherville,J4B1S5,450 449-6618,45.6087,-73.4519,Montérégie
23138,Jean-Talon/Viau,SAQ,"7205, boulevard Viau",Montréal,H1S0C1,514 727-7922,45.575479,-73.584055,Montréal
23139,Galeries Laval,SAQ,"1545, boulevard Le Corbusier",Laval,H7S2K6,450 686-1029,45.562737,-73.726977,Laval
23140,Brossard - Taschereau/Adam,SAQ Sélection,"5700, boulevard Taschereau",Brossard,J4W1M4,450 466-2141,45.479333,-73.46535,Montérégie
23141,Saint-Bruno - Rue Roberval,SAQ Sélection,"1380, rue Roberval",St-Bruno-de-Montarville,J3V5J2,450 653-2051,45.52749,-73.344123,Montérégie
23142,Mirabel - Saint-Janvier,SAQ,"13370, boulevard Curé-Labelle",Mirabel,J7J1G9,450 434-1037,45.6989,-73.9202,Laurentides
23144,Terrebonne - Boul. des Seigneurs,SAQ Sélection,"1100, boulevard des Seigneurs Est",Terrebonne,J6W3W4,450 471-9180,45.7001424,-73.644701,Lanaudière
23145,N.D.G. - Ave. Somerled,SAQ,"6265, avenue Somerled",Montréal,H3X2B7,514 488-1692,45.47092,-73.63529,Montréal
23146,Henri-Bourassa Est/Rolland,SAQ,"6186, boulevard Henri-Bourassa Est",Montréal-Nord,H1G5X3,514 329-1222,45.608963,-73.61311,Montréal
23148,Sherbrooke - Centre-ville,SAQ Sélection,"30, rue King Ouest",Sherbrooke,J1H1N8,819 822-2262,45.40187,-71.88916,Estrie
23149,Papineauville,SAQ,"146-A, rue Papineau",Papineauville,J0V1R0,819 427-5754,45.617249,-75.016823,Outaouais
23150,Kirkland - St-Charles/Brunswick,SAQ Express,"3691, boulevard St-Charles",Kirkland,H9H4M2,514 694-2912,45.459216,-73.86518,Montréal
23151,Centre Rockland,SAQ Sélection,"2305, chemin Rockland, local 1635",Ville de Mont-Royal,H3P3E9,514 733-6414,45.526917,-73.649994,Montréal
23152,Sherbrooke - King Ouest/J.-Cartier Sud,SAQ Sélection,"1900, rue King Ouest",Sherbrooke,J1J2E2,819 348-9639,45.398438,-71.920986,Estrie
23153,Galeries des Sources,SAQ,"40, boulevard Brunswick",Dollard-des-Ormeaux,H9B2N8,514 685-2784,45.4831,-73.7947,Montréal
23155,Van Horne/Wilderton,SAQ,"2635, avenue Van Horne",Montréal,H3S1P6,514 731-1696,45.5098724,-73.624819,Montréal
23156,Saint-Antoine-des-Laurentides,SAQ,"595, boulevard des Laurentides",Saint-Jérôme,J7Z4M4,450 436-2124,45.761828,-73.991126,Laurentides
23158,Rock Forest,SAQ,"4799, boulevard Bourque",Sherbrooke,J1N2G6,819 564-7644,45.376,-71.9808,Estrie
23159,Centre Fairview,SAQ,"6815, route Transcanadienne",Pointe-Claire,H9R1C4,514 695-2236,45.461941,-73.830494,Montréal
23160,Carrefour de L'Estrie,SAQ,"3320, boulevard Portland",Sherbrooke,J1L2A6,819 822-2402,45.402736,-71.957065,Estrie
23161,Lebel-sur-Quévillon,SAQ,"110B, rue Principale Sud",Lebel-sur-Quévillon,J0Y1X0,819 755-4372,49.051814,-76.978052,Nord-du-Québec
23162,Saint-Jean-sur-Richelieu - Du Séminaire/Champlain,SAQ Sélection,"1095, boulevard du Séminaire Nord",Saint-Jean-sur-Richelieu,J3A1R2,450 348-6411,45.339857,-73.268099,Montérégie
23163,LaSalle - Boul. Champlain,SAQ,"8070, boulevard Champlain",Montréal,H8P1B3,514 365-2752,45.427328,-73.611506,Montréal
23165,Sainte-Agathe-des-Monts,SAQ Sélection,"701, Rue Principale",Sainte-Agathe-des-Monts,J8C1L1,819 326-8411,46.0438285,-74.2718338,Laurentides
23166,Galeries Saint-Laurent,SAQ Sélection,"1919, boulevard Marcel-Laurin",St-Laurent,H4R1K4,514 744-6628,45.5175,-73.7,Montréal
23167,Place Dupuis,SAQ Express,"865, rue Ste-Catherine Est",Montréal,H2L0E3,514 842-3398,45.5160961,-73.5584503,Montréal
23168,Chomedey,SAQ Sélection,"555, boulevard Curé-Labelle",Laval,H7V2T4,450 681-7967,45.53754,-73.73982,Laval
23169,Galeries Normandie,SAQ Express,"2834, rue de Salaberry",Montréal,H3M1L3,514 336-7627,45.5364,-73.699,Montréal
23170,Plaza Pointe-Claire,SAQ,"269, boulevard St-Jean",Pointe-Claire,H9R3J1,514 695-2480,45.445457,-73.816171,Montréal
23171,Sherbrooke Est/Autoroute 25,SAQ Sélection,"7550, rue Sherbrooke Est",Montréal,H1N3W1,514 256-9134,45.590949,-73.537616,Montréal
23173,Rue Masson,SAQ,"2685, rue Masson",Montréal,H1Y1W3,514 721-2226,45.546262,-73.575973,Montréal
23174,Complexe Desjardins,SAQ,"150, rue Ste-Catherine Ouest",Montréal,H5B1B5,514 844-8721,45.5073,-73.5643,Montréal
23175,Windsor,SAQ,"201, rue St-Georges",Windsor,J1S1S7,819 845-2995,45.57323,-71.99876,Estrie
23176,Saint-Donat,SAQ,"867, rue Principale",Saint-Donat,J0T2C0,819 424-3244,46.310407,-74.209919,Lanaudière
23177,Kirkland - St-Charles/Hymus,SAQ Sélection,"2955, boulevard St-Charles",Kirkland,H9H3B5,514 694-2042,45.448121,-73.854116,Montréal
23178,Stanstead,SAQ,"8, chemin de Fairfax",Stanstead,J0B3E0,819 876-5406,45.023337,-72.086961,Estrie
23179,Mont-Tremblant - La Montagne,SAQ,"100, chemin de Kandahar",Mont-Tremblant,J8E1E2,819 681-4548,46.21247,-74.58654,Laurentides
23180,Longueuil - Ch. de Chambly,SAQ,"2915, chemin de Chambly",Longueuil,J4L1M7,450 468-0540,45.520455,-73.4585611,Montérégie
23181,Fabreville,SAQ,"420, boulevard Curé-Labelle",Laval,H7P2P1,450 625-2540,45.5771,-73.7875,Laval
23182,Saint-François,SAQ,"600, montée du Moulin",Laval,H7A1Z6,450 665-0710,45.66956,-73.57528,Laval
23183,Carrefour du Nord,SAQ Sélection,"800, boulevard Grignon",Saint-Jérôme,J7Y2Y8,450 438-4662,45.793493,-74.014992,Laurentides
23184,Bois-des-Filion,SAQ,"79, montée Gagnon",Bois-des-Filion,J6Z4H3,450 965-7622,45.6658251,-73.7610998,Laurentides
23185,Ateliers Angus,SAQ Sélection,"4125, rue André-Laurendeau",Montréal,H1Y3R6,514 521-1746,45.543016,-73.562627,Montréal
23186,Village Montpellier,SAQ,"740, boulevard de la Côte-Vertu",Ville St-Laurent,H4L5C8,514 744-9599,45.5204,-73.6741,Montréal
23187,Carrefour Saint-Hyacinthe,SAQ Sélection,"3180, boulevard Laframboise",St-Hyacinthe,J2S4Z4,450 773-4554,45.63654,-72.966949,Montérégie
23188,Auteuil-Laval,SAQ Sélection,"5007, boulevard des Laurentides",Laval,H7K2J7,579 641-1331,45.62011,-73.744492,Laval
23189,Sainte-Adèle,SAQ Sélection,"423, boulevard Ste-Adèle",Sainte-Adèle,J8B2N1,450 229-7673,45.945185,-74.125655,Laurentides
23190,Gatineau - St-Joseph/St-Raymond,SAQ Express,"425, boulevard Saint-Joseph",Gatineau,J8Y3Z8,819 771-5979,45.4462,-75.7337,Outaouais
23191,Carrefour Angrignon,SAQ Sélection,"2500, boulevard Angrignon",Montréal,H8N0C1,514 364-4343,45.449489,-73.617885,Montréal
23192,Granby - Rue St-Jude Nord,SAQ Sélection,"74, rue St-Jude Nord",Granby,J2J2T7,450 378-6808,45.418598,-72.753023,Montérégie
23193,Mail Champlain,SAQ,"2151, boulevard Lapinière",Brossard,J4W2T5,450 671-3623,45.4722,-73.4706,Montérégie
23194,Valleyfield - Boul. Monseigneur-Langlois,SAQ Sélection,"1620, boulevard Monseigneur-Langlois",Salaberry-de-Valleyfield,J6S1E3,450 377-8332,45.271439,-74.128462,Montérégie
23195,Langelier/Bélanger,SAQ,"7160, boulevard Langelier",St-Léonard,H1S2X6,514 259-2344,45.590756,-73.569622,Montréal
23196,Sorel,SAQ Sélection,"340, boulevard Poliquin",Sorel-Tracy,J3P0G4,450 746-2711,46.030842,-73.096465,Montérégie
23197,Beaconsfield,SAQ,"110, Beaurepaire Dr",Beaconsfield,H9W0A1,514 694-4195,45.4326,-73.8481,Montréal
23198,Saint-Joseph-du-Lac,SAQ,"3759, chemin d'Oka",St-Joseph-du-Lac,J0N1M0,450 472-9735,45.5135615,-73.9762983,Laurentides
23200,Grenville,SAQ,"26, rue Maple",Grenville,J0V1J0,819 242-0616,45.623193,-74.593781,Laurentides
23202,Faubourg Boisbriand,SAQ Sélection,"2735, rue d'Annemasse",Boisbriand,J7H0A5,450 437-4772,45.627529,-73.851271,Laurentides
23203,Lac-Brome,SAQ,"460, chemin de Knowlton",Lac-Brome,J0E1V0,450 242-1414,45.214132,-72.529375,Montérégie
23204,Saint-Félix-de-Valois,SAQ,"351, chemin de Joliette",Saint-Félix-de-Valois,J0K2M0,450 889-1807,46.1617304,-73.4296069,Lanaudière
23205,Méga Centre Val-des-Brises,SAQ Sélection,"5040, boulevard Robert-Bourassa",Laval,H7E0A6,450 661-1137,45.60932,-73.6985,Laval
23206,Terminus Longueuil,SAQ,"100, place Charles-Le Moyne",Longueuil,J4K2T4,450 679-1520,45.5254,-73.5219,Montérégie
23207,Sainte-Marthe-sur-le-Lac,SAQ,"2851, boulevard des Promenades",Ste-Marthe-sur-le-Lac,J0N1P0,450 473-9153,45.538416,-73.925345,Laurentides
23208,Papineau/Crémazie,SAQ Sélection,"8405, rue Papineau",Montréal,H2M2G2,514 728-7808,45.556057,-73.624257,Montréal
23209,Vaudreuil,SAQ Sélection,"585, avenue St-Charles",Vaudreuil-Dorion,J7V8P9,450 455-9347,45.411366,-74.032143,Montérégie
23210,Mont-Royal Est/Mentana,SAQ Express,"940, avenue du Mont-Royal Est",Montréal,H2J1X2,514 523-6117,45.526723,-73.580308,Montréal
23211,Gracefield,SAQ,"25, rue Principale",Gracefield,J0X1W0,819 463-3222,46.094136,-76.052495,Outaouais
23212,Sainte-Thérèse - rue Saint-Charles,SAQ Express,"232, rue Saint-Charles, Local 110",Sainte-Thérèse,J7E2B4,450 434-6232,45.645365,-73.860348,Laurentides
23213,Du Village,SAQ,"1250, rue Sainte-Catherine Est",Montréal,H2L2H2,514 521-0184,45.518981,-73.555738,Montréal
23214,Saint-Constant,SAQ,"284, voie de desserte de la Route 132",St-Constant,J5A2C9,450 638-5344,45.387577,-73.570832,Montérégie
23215,Carrefour Candiac,SAQ Sélection,"220, rue de Strasbourg",Candiac,J5R0B4,450 619-9255,45.3715931,-73.5154268,Montérégie
23216,Mirabel - St-Canut,SAQ,"13912, rue St-Simon",Mirabel,J7N1P3,450 436-2607,45.705208,-74.095979,Laurentides
23217,Sainte-Catherine Ouest/Lambert Closse,SAQ,"2204, rue Ste-Catherine Ouest",Montréal,H3H1M7,514 935-9414,45.490253,-73.583248,Montréal
